
Kaby Lake3002737512,77920.836593,62601.486346,0.814817,2704.486728
Kaby Lake3002737513,77920.850265,62601.499407,0.814817,2704.487522
Kaby Lake3002737514,77920.867660,62601.511370,0.814817,2704.488376
Kaby Lake3002737515,77920.883957,62601.520708,0.814817,2704.489292
Kaby Lake3002737516,77920.896835,62601.529986,0.814817,2704.489963
Kaby Lake3002737517,77920.909591,62601.538348,0.814817,2704.490635
Kaby Lake3002737518,77920.921920,62601.546648,0.814817,2704.491306
Kaby Lake3002737519,77920.936142,62601.555254,0.814817,2704.492160
Kaby Lake3002737520,77920.948532,62601.563921,0.814817,2704.492893
Kaby Lake3002737521,77920.960922,62601.573138,0.814817,2704.493564
Kaby Lake3002737522,77920.974410,62601.584368,0.814817,2704.494236
Kaby Lake3002737523,77920.993331,62601.596392,0.814817,2704.495639
Kaby Lake3002737524,77921.008285,62601.608355,0.814817,2704.496738
Kaby Lake3002737525,77921.026534,62601.638384,0.814817,2704.498569
Kaby Lake3002737527,77921.093368,62601.689897,0.814817,2704.503269
Kaby Lake3002737528,77921.114730,62601.703752,0.814817,2704.505161
Kaby Lake3002737529,77921.133834,62601.718584,0.814817,2704.506687
Kaby Lake3002737530,77921.153975,62601.732439,0.814817,2704.508152
Kaby Lake3002737531,77921.172835,62601.742021,0.814817,2704.509739
Kaby Lake3002737532,77921.188094,62601.750688,0.814817,2704.510776
Kaby Lake3002737533,77921.200850,62601.758989,0.814817,2704.511509
Kaby Lake3002737534,77921.213485,62601.768022,0.814817,2704.512119
Kaby Lake3002737535,77921.226302,62601.775713,0.814817,2704.512851
Kaby Lake3002737536,77921.239119,62601.785173,0.814817,2704.513523
Kaby Lake3002737536,77921.252730,62601.794084,0.814817,2704.514133
Kaby Lake3002737537,77921.252730,62601.802751,0.814817,2704.514133
Kaby Lake3002737538,77921.267195,62601.811479,0.814817,2704.514865
Kaby Lake3002737539,77921.281661,62601.821916,0.814817,2704.515842
Kaby Lake3002737540,77921.296370,62601.830156,0.814817,2704.516697
Kaby Lake3002737541,77921.309187,62601.838090,0.814817,2704.517368
Kaby Lake3002737542,77921.323042,62601.846208,0.814817,2704.518100
Kaby Lake3002737543,77921.335432,62601.853899,0.814817,2704.518711
Kaby Lake3002737543,77921.349532,62601.862749,0.814817,2704.519443
Kaby Lake3002737544,77921.364973,62601.874040,0.814817,2704.520664
Kaby Lake3002737546,77921.385420,62601.894914,0.814817,2704.522556
Kaby Lake3002737547,77921.418745,62601.932634,0.814817,2704.524509
Kaby Lake3002737549,77921.491560,62601.992448,0.814817,2704.529331
Kaby Lake3002737550,77921.513777,62602.010514,0.814817,2704.531101
Kaby Lake3002737551,77921.531538,62602.025834,0.814817,2704.532688
Kaby Lake3002737552,77921.551313,62602.040055,0.814817,2704.534153
Kaby Lake3002737553,77921.568342,62602.050309,0.814817,2704.535007
Kaby Lake3002737554,77921.582685,62602.059770,0.814817,2704.535678
Kaby Lake3002737555,77921.596540,62602.069169,0.814817,2704.536350
Kaby Lake3002737556,77921.611982,62602.078446,0.814817,2704.537082
Kaby Lake3002737557,77921.624555,62602.087357,0.814817,2704.537754
Kaby Lake3002737558,77921.638776,62602.096574,0.814817,2704.538425
